ID,Esai
1,"""1.Pengalaman Belajar yang Berkesan.
Salah satu pengalaman belajar yang paling berkesan bagi saya terjadi ketika saya belajar dengan teman
2.Cara Memahami Materi
Untuk memahami materi, saya memulainya dengan membaca materi dari buku teks dan referensi lain secara seksama. Setelah itu, saya mencoba untuk mengerjakan soal-soal latihan yang berhubungan dengan teori yang baru saja dipelajari.
3.Strategi Pembelajaran
Strategi pembelajaran yang saya gunakan untuk memahami materi adalah teknik belajar aktif. Salah satunya adalah dengan mengajarkan kembali materi yang telah saya pelajari kepada teman sekelas atau bahkan diri saya sendiri. Ketika saya mencoba menjelaskan konsep-konsep yang telah saya pelajari, saya merasa lebih mudah untuk mengingat dan memahaminya.
4.media yang di sukai adalah media digital seperti vidio pembelajaran"""
2,"""1.Saat hari² produktif, yang terjadi ialah saya yang mendapat ilmu baru dalam pengembangan aplikasi atau membuat aplikasi yang saya inginkan dan yang saya rasakan adalah perasaan senang
2.Cara pemahaman saya ialah dijelaskan secara rinci dan detail sehingga saya bisa mempraktik kan hal yang terjadi agar sekalian mendapat pengalaman cara menggunakan/mengoperasikan
3.Metode membaca atau di jelaskan secara rinci, karena saya kalau dijelaskan secara tidak terperinci saya tidak akan paham dengan apa yang di maksud dalam pelajaran tersebut
4.Media internet, dikarenakan dalam penggunaan internet lebih lengkap daripada buku. Dan saya kalau membaca buku pasti ada yang tidak lengkap, sehingga saya memilih untuk menggunakan media belajar online dan mencari secara rinci di media youtube"""
3,"""Saya terbiasa belajar sambil mendengarkan musik .karena, dengan mendengarkan musik saya jauh lebih fokus dan tidak bosan .

Cara saya memahami materi dengan mendengarkan penjelasan guru serta melihat cara bagaimana guru dapat melakukan hal tersebut.Jika hal tersebut masih tidak berhasil saya akan mencari alternatif dengan melihat tutorial dari youtube dan sosial media lainnya.

Metode yang saya gunakan ada melihat 
mendengarkan lalu mempraktikkan .saya menggunakan metode tersebut karena metode tersebut sangat berguna untuk diriku ini.

Media yang sering saya gunakan yaitu yaitu belajar sambil mendengarkan musik atau menggambar . Saya menggunakan media tersebut karena  membuat saya lebih fokus serta saya menerapkan metode belajar 30,5,30 yaitu 30 menit belajar , 5 menit istirahat ,30 menit belajar kembali atau mengulangi pelajaran
"""
4,"""1. sebenarnya banyak,tapi saya akan menceritakan salah satunya,saat pelajaran saya mengerti dan menjawab pertanyaan saya bisa,saya disitu merasa sudah paham dalam mata pelajaran tersebut
2. dengan membaca modul dan kisi kisi yang tersedia,bisa juga dengan bertanya kepada orang lain
3. sambil mendengar musik karena itu bisa bikin tenang saat belajar dan ketika saya tenang, saya mudah untuk memahami suatu materi
4. internet, karena di internet banyak pilihan untuk media belajar, banyak juga media yang menarik untuk dibaca dan dilihat"""
5,"1)Pengalaman belajar saya yang paling berkesan adalah belajar sks(sistem kebut semalam) karena menantang dan seru..2)Mencoba lagi dan mengerjakan latihan soal yang ada di internet..3)Metodenya adalah belajar jam 2 pagi sambil mendengarkan musik,dijamin ngga lupa pas ujian..4)Media buku karena minim gangguan,tidak seperti diHP/laptop "
6,"""1  Pengalaman belajar yang paling berkesan bagi saya terjadi saat saya akhirnya bisa memahami sesuatu yang sulit awalnya bingung tetapi setelah berusaha, saya berhasil paham dan merasa sangat puas.
2  Untuk memahami materi saya memecahnya jadi bagian kecil setelah itu saya mencari contoh penerapan agar lebih jelas dengan cara ini materi terasa lebih mudah.
3  Biasanya saya membuat catatan singkat karena lebih mudah diingat catatan sederhana ini memudahkan saat mengulang tanpa harus membaca panjang.
4. Media favorit saya adalah video dan artikel video membantu dengan visual sementara artikel memberi tambahan info keduanya membuat proses belajar lebih seru."""
7,"""-Pengalaman yang berkesan adalah ketika saya berhasil mengerjakan sesuatu hal yg baru di jurusan saya,saya sangat senang karena mendapatkan ilmu baru yang berguna di kehidupan saya dimasa depan.
-Cara memahami materi nya saya cenderung meminta bantuan dari orang yang bisa atau mencari referensi di internet.
-Teknik yang saya gunakan biasanya audiovisual, alasannya saya lebih mudah paham jika ada visual gambar dibandingkan dengan dijelaskan langsung tanpa contoh.
 -Media yang paling sering saya lakukan itu mengerjakan tugas atau belajar sambil mendengarkan musik dan makan makanan ringan alasannya saya merasa lebih enak ketika mendengarkan musik,karena bisa merefresh otak,dan karna saya gampang lapar.

"""
8,"""   Pengalaman belajar saya yang menyenangkan adalah jika harus mencoba langsung apa yang sudah di jelaskan oleh guru. 
   Cara saya untuk memahami materi adalah dengan memperhatikan apa yang sudah dijelaskan dan mencobanya, atau bisa bertanya dengan orang yang sudah berhasil mencoba sebelumnya. 
   Strategi pembelajaran dengan metode dijelaskan dan mempraktekkan, memilih metode tersebut karna saya lebih paham jika mempraktekkan langsung apa yang sudah dijelaskan. 
   Media belajar saya adalah buku, atau dengan video pembelajaran, alasannya karena lebih mudah dipahami
"""
9,"""pengalaman belajar yang saya rasakan adalah sering berdiskusi dengan teman bisa mengerjakan dengan serius atau bercanda
saya memahami materi lumayan bisa kadang bikin stress kadang engga
strategi yang saya gunakan untuk memahami materi adalah menonton vidio/tutorial
kalo media kurang tau """
10,"""saya pernah belajar di luar kelas dan itu rasanya menyenangkan karena belajar di luar kelas membuat saya semakin mendekat ke alam, dan rasanya itu sangat sejuk sekali bahkan lebih enak belajar di luar kelas dari pada di dalam kelas. 

saya dapat memahami materi dengan cara membaca ulang atau mempelajari ulang materi yang sebelumnya saya baca dan saya lebih suka langsung mempraktikkan apa yang sebelumnya saya pelajari, yang pertama biasanya saya membaca dahulu jika tidak paham saya kembali membaca  dan mempraktikkannya. 

saya memilih metode pembelajaran 70% praktik, 30% membaca, saya memilih metode tersebut karena saya sangat suka mengerjakan soal dari pada membaca. 

saya lebih suka dengan media hp karna di hp biasanya saya bisa membuka atau mencari apa yang ingin saya pelajari dan biasanya ketika saya belajar saya juga sambil mendengar musik agar materi yang saya baca semakin masukk. """
